name,source,family,expr,sign,nodes,zoo_overlap,ic_mean,pearson_ic,ic_t,ls_sharpe_ann,dsr,later_ic_mean,status
rnd_036,random,range,"Min((($high-$low)/$close),60)",-1,7,3,0.005776979706912917,-0.010774921899524434,0.6101997910511733,-0.3724021315574646,1.501282056801565e-06,0.06873151460681702,rejected
rnd_037,random,price_volume,"Corr(Corr($open,$high,40),Log($volume+1),60)",-1,10,4,0.003573271030691476,-0.00048243352237535645,0.6295954325536017,-0.08178675174713135,6.334266162885331e-05,-0.005943584018559533,rejected
rnd_038,random,range,"Max((($high-$low)/$close),60)/(Max((($high-$low)/$close),40)+1e-12)-1",-1,19,3,0.010914447321537244,-0.0015665469024762951,1.859545547571305,0.011964458972215652,0.00018913895279902256,0.013809583203087695,rejected
rnd_039,random,range,"Max($vwap,10)",1,3,1,0.010190020011710384,0.012419044207811267,1.5854258435543338,0.35525190830230713,0.00569405735307637,-0.03267221107814366,rejected
rnd_040,random,liquidity,"Mean($volume,10)/(Mean($volume,40)+1e-12)-1",-1,11,3,0.01768126609401872,0.012113782453175001,2.8386876449083163,0.3074192702770233,0.0033616141921598577,0.005142239263406749,rejected
rnd_041,random,price_volume,"(Corr($volume,$low,20)-Mean(Corr($volume,$low,20),10))/(Std(Corr($volume,$low,20),10)+1e-12)",-1,20,1,0.00019159099175132798,0.001404502230739648,0.59835329221889,0.5168027877807617,0.018300956821401104,0.007501981541351121,rejected
rnd_042,random,volatility,"($close-Mean($close,40))/(Std($close,40)+1e-12)",-1,11,3,0.01995693524323141,0.0026068994380971963,2.1544347285288996,-0.05024602264165878,9.28627646897946e-05,0.011822292353051564,rejected
rnd_043,random,liquidity,"Mean($volume,5)/(Mean($volume,20)+1e-12)-1",-1,11,3,0.00447957339011467,0.0009005618998583331,1.5569963623402303,-0.2577418386936188,6.675671612857566e-06,-0.00374555523939507,rejected
rnd_044,random,volatility,"($open-Mean($open,20))/(Std($open,20)+1e-12)",-1,11,1,0.017996700982398,0.0032276313520082844,2.4120488171165206,0.02330847457051277,0.00021203877353215026,0.006818471421306847,rejected
rnd_045,random,volatility,"Std($high,10)",1,3,1,0.0004917691365402718,0.007111414071130305,-0.14038166930811627,0.3064936399459839,0.0032651439804618687,-0.04629775489183226,rejected
rnd_046,random,volatility,"(Max($low,20)-Mean(Max($low,20),60))/(Std(Max($low,20),60)+1e-12)",-1,17,1,0.010342395336735243,-0.005361868858356783,1.1675592135816384,-0.06046493351459503,8.467844427140123e-05,0.023808680923867877,rejected
rnd_048,random,volatility,"Mean(($open-Mean($open,60))/(Std($open,60)+1e-12),60)",1,13,1,0.008707917029783787,0.016499363202725978,0.9824705214967031,0.648379921913147,0.048393326284019725,-0.00442935007615199,rejected
